article,source,tags,link
"Зеленский пытается втянуть НАТО в войну с Россией, заявил Пушков",Не найдено,,https://news.mail.ru/politics/62807901/
Мэр и военком российского города отправились на СВО,Не найдено,,https://news.mail.ru/society/62807898/
«Приговорили к смерти». В США забили тревогу из-за ситуации в зоне СВО,Не найдено,,https://news.mail.ru/incident/62805163/
Певец и ветеран Афганистана Станислав Юрко погиб в бою,Не найдено,,https://news.mail.ru/incident/62805661/
«Поразит Лондон»: на Западе сделали заявление про удары по России,Не найдено,,https://news.mail.ru/politics/62805207/
Times раскрыла число российских авиабаз в радиусе поражения Storm Shadow,Не найдено,,https://news.mail.ru/politics/62807427/
Белград назвал условия отказа от вступления в ЕС,Не найдено,,https://news.mail.ru/politics/62807630/
Не найдено,Комсомольская правда,,https://pogoda.mail.ru/news/62804824/
«Динамо» Махачкала прервало сухую серию «Спартака» из пяти матчей в РПЛ,Не найдено,,https://sportmail.ru/news/football-rus-premier/62807433/
Черная кошка отказалась перебегать дорогу Путину,Не найдено,,https://vfokuse.mail.ru/article/chernaya-koshka-otkazalas-perebegat-dorogu-putinu-62804953/
"В Москве рассказали о состоянии ветеранов, отравившихся в столовой",Не найдено,,https://news.mail.ru/incident/62804111/
